psi	rP1	rP2
15.948000	2429.954212	5562.202423
15.984000	2430.561794	5560.457646
16.020000	2431.170028	5558.714400
16.056000	2431.778916	5556.972687
16.092000	2432.388457	5555.232504
16.128000	2432.998651	5553.493852
16.164000	2433.609500	5551.756729
16.200000	2434.221002	5550.021136
16.236000	2434.833158	5548.287071
16.272000	2435.445969	5546.554535
16.308000	2436.059434	5544.823525
16.344000	2436.673554	5543.094043
16.380000	2437.288328	5541.366086
16.416000	2437.903758	5539.639655
16.452000	2438.519843	5537.914749
16.488000	2439.136584	5536.191367
16.524000	2439.753980	5534.469509
16.560000	2440.372033	5532.749174
16.596000	2440.990741	5531.030362
16.632000	2441.610106	5529.313071
16.668000	2442.230127	5527.597301
16.704000	2442.850805	5525.883053
16.740000	2443.472139	5524.170324
16.776000	2444.094131	5522.459115
16.812000	2444.716780	5520.749424
16.848000	2445.340087	5519.041252
16.884000	2445.964051	5517.334597
16.920000	2446.588673	5515.629460
16.956000	2447.213953	5513.925838
16.992000	2447.839892	5512.223733
17.028000	2448.466489	5510.523143
17.064000	2449.093745	5508.824068
17.100000	2449.721659	5507.126506
17.136000	2450.350233	5505.430459
17.172000	2450.979466	5503.735924
17.208000	2451.609358	5502.042901
17.244000	2452.239910	5500.351390
17.280000	2452.871122	5498.661390
17.316000	2453.502994	5496.972901
17.352000	2454.135527	5495.285921
17.388000	2454.768719	5493.600451
17.424000	2455.402573	5491.916489
17.460000	2456.037088	5490.234036
17.496000	2456.672263	5488.553091
17.532000	2457.308100	5486.873652
17.568000	2457.944598	5485.195720
17.604000	2458.581759	5483.519293
17.640000	2459.219581	5481.844372
17.676000	2459.858065	5480.170955
17.712000	2460.497211	5478.499043
17.748000	2461.137020	5476.828634
17.784000	2461.777492	5475.159728
17.820000	2462.418627	5473.492325
17.856000	2463.060425	5471.826423
17.892000	2463.702886	5470.162022
17.928000	2464.346011	5468.499122
17.964000	2464.989799	5466.837722
18.000000	2465.634252	5465.177822
18.036000	2466.279369	5463.519420
18.072000	2466.925150	5461.862517
18.108000	2467.571595	5460.207111
18.144000	2468.218706	5458.553203
18.180000	2468.866481	5456.900792
18.216000	2469.514922	5455.249876
18.252000	2470.164028	5453.600456
18.288000	2470.813800	5451.952531
18.324000	2471.464238	5450.306100
18.360000	2472.115341	5448.661163
18.396000	2472.767111	5447.017720
18.432000	2473.419548	5445.375769
18.468000	2474.072651	5443.735310
18.504000	2474.726421	5442.096343
18.540000	2475.380858	5440.458867
18.576000	2476.035962	5438.822881
18.612000	2476.691734	5437.188385
18.648000	2477.348173	5435.555378
18.684000	2478.005281	5433.923861
18.720000	2478.663057	5432.293831
18.756000	2479.321501	5430.665289
18.792000	2479.980613	5429.038234
18.828000	2480.640395	5427.412666
18.864000	2481.300845	5425.788584
18.900000	2481.961964	5424.165987
18.936000	2482.623753	5422.544876
18.972000	2483.286212	5420.925248
19.008000	2483.949340	5419.307105
19.044000	2484.613139	5417.690444
19.080000	2485.277608	5416.075267
19.116000	2485.942747	5414.461571
19.152000	2486.608557	5412.849357
19.188000	2487.275037	5411.238625
19.224000	2487.942189	5409.629373
19.260000	2488.610013	5408.021600
19.296000	2489.278507	5406.415308
19.332000	2489.947674	5404.810494
19.368000	2490.617512	5403.207159
19.404000	2491.288023	5401.605301
19.440000	2491.959206	5400.004921
19.476000	2492.631062	5398.406018
19.512000	2493.303590	5396.808590
19.548000	2493.976792	5395.212639
19.584000	2494.650667	5393.618163
19.620000	2495.325215	5392.025161
19.656000	2496.000437	5390.433633
19.692000	2496.676333	5388.843580
19.728000	2497.352903	5387.254999
19.764000	2498.030148	5385.667890
19.800000	2498.708067	5384.082254
19.836000	2499.386660	5382.498089
19.872000	2500.065929	5380.915395
19.908000	2500.745873	5379.334171
19.944000	2501.426493	5377.754417
19.980000	2502.107788	5376.176133
20.016000	2502.789759	5374.599317
20.052000	2503.472406	5373.023970
20.088000	2504.155729	5371.450090
20.124000	2504.839729	5369.877678
20.160000	2505.524406	5368.306732
20.196000	2506.209759	5366.737253
20.232000	2506.895790	5365.169239
20.268000	2507.582498	5363.602691
20.304000	2508.269884	5362.037607
20.340000	2508.957948	5360.473988
20.376000	2509.646689	5358.911831
20.412000	2510.336109	5357.351139
20.448000	2511.026208	5355.791908
20.484000	2511.716985	5354.234140
20.520000	2512.408442	5352.677833
20.556000	2513.100577	5351.122988
20.592000	2513.793392	5349.569603
20.628000	2514.486886	5348.017678
20.664000	2515.181060	5346.467212
20.700000	2515.875915	5344.918206
20.736000	2516.571449	5343.370658
20.772000	2517.267665	5341.824568
20.808000	2517.964561	5340.279935
20.844000	2518.662137	5338.736760
20.880000	2519.360395	5337.195041
20.916000	2520.059335	5335.654778
20.952000	2520.758956	5334.115970
20.988000	2521.459259	5332.578618
21.024000	2522.160244	5331.042720
21.060000	2522.861911	5329.508276
21.096000	2523.564261	5327.975285
21.132000	2524.267294	5326.443748
21.168000	2524.971009	5324.913663
21.204000	2525.675408	5323.385029
21.240000	2526.380490	5321.857848
21.276000	2527.086256	5320.332117
21.312000	2527.792706	5318.807837
21.348000	2528.499840	5317.285007
21.384000	2529.207658	5315.763626
21.420000	2529.916161	5314.243695
21.456000	2530.625349	5312.725212
21.492000	2531.335221	5311.208177
21.528000	2532.045779	5309.692589
21.564000	2532.757023	5308.178449
21.600000	2533.468952	5306.665755
21.636000	2534.181567	5305.154507
21.672000	2534.894868	5303.644705
21.708000	2535.608856	5302.136348
21.744000	2536.323530	5300.629435
21.780000	2537.038891	5299.123967
21.816000	2537.754939	5297.619942
21.852000	2538.471675	5296.117360
21.888000	2539.189098	5294.616222
21.924000	2539.907209	5293.116525
21.960000	2540.626007	5291.618270
21.996000	2541.345495	5290.121456
22.032000	2542.065670	5288.626084
22.068000	2542.786534	5287.132151
22.104000	2543.508087	5285.639658
22.140000	2544.230330	5284.148605
22.176000	2544.953262	5282.658990
22.212000	2545.676883	5281.170814
